City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Cherskiy,RU,2022-02-02 23:25:52,68.75,161.3,-16.02,67,60,0.94
127,Hami,CN,2022-02-02 23:22:09,42.8,93.45,21.63,35,3,2.8
128,Akyab,MM,2022-02-02 23:25:52,20.15,92.9,62.13,73,5,6.73
129,Labuhan,ID,2022-02-02 23:25:53,-6.8844,112.2051,77.47,86,100,4.05
130,Zaysan,KZ,2022-02-02 23:25:53,47.4667,84.8667,-3.37,83,16,3.22
131,Khatanga,RU,2022-02-02 23:25:53,71.9667,102.5,-36.31,98,51,2.13
132,Katsuura,JP,2022-02-02 23:25:54,35.1333,140.3,44.19,51,44,8.3
133,Ayan,RU,2022-02-02 23:25:54,56.45,138.1667,-3.53,69,100,15.99
134,Sabang,ID,2022-02-02 23:26:55,5.8933,95.3214,80.26,79,42,9.57
135,Krasnoselkup,RU,2022-02-02 23:26:55,65.7,82.4667,-21.87,100,89,6.22
136,Paamiut,GL,2022-02-02 23:26:55,61.994,-49.6678,9.64,62,100,17.83
137,Montepuez,MZ,2022-02-02 23:26:56,-13.1256,38.9997,67.91,98,42,3.38
138,Waddan,LY,2022-02-02 23:26:56,29.1614,16.139,47.44,60,17,12.3
139,Fairbanks,US,2022-02-02 23:26:56,64.8378,-147.7164,-14.03,74,0,0.0
140,Vanimo,PG,2022-02-02 23:26:57,-2.6741,141.3028,78.46,86,99,3.53
141,Vao,NC,2022-02-02 23:22:03,-22.6667,167.4833,77.83,76,97,14.12
142,Launceston,AU,2022-02-02 23:26:57,-41.45,147.1667,62.8,49,100,5.01
143,Ngatea,NZ,2022-02-02 23:26:57,-37.2833,175.5,80.35,55,99,8.03
144,Acapulco,MX,2022-02-02 23:26:17,16.8634,-99.8901,82.22,65,20,10.36
145,Port Alfred,ZA,2022-02-02 23:26:58,-33.5906,26.891,73.44,96,100,7.96
146,Geraldton,AU,2022-02-02 23:26:58,-28.7667,114.6,86.41,16,0,28.77
147,Opuwo,NA,2022-02-02 23:26:59,-18.0607,13.84,64.11,61,41,2.51
148,Matinhos,BR,2022-02-02 23:26:59,-25.8175,-48.5428,80.65,89,15,9.91
149,Loukhi,RU,2022-02-02 23:26:59,66.0764,33.0381,11.68,96,99,5.57
150,Klaksvik,FO,2022-02-02 23:27:00,62.2266,-6.589,40.12,72,100,14.88
151,Sistranda,NO,2022-02-02 23:22:14,63.7256,8.834,31.96,60,94,22.39
152,Berlevag,NO,2022-02-02 23:27:00,70.8578,29.0864,26.85,64,100,11.88
153,Broken Hill,AU,2022-02-02 23:27:00,-31.95,141.4333,62.31,48,0,23.02
154,Oksfjord,NO,2022-02-02 23:27:01,70.2396,22.3479,16.72,92,79,10.63
155,Barrow,US,2022-02-02 23:27:01,71.2906,-156.7887,-20.18,69,0,4.61
156,Maniitsoq,GL,2022-02-02 23:27:01,65.4167,-52.9,4.6,71,100,18.9
157,Longjiang,CN,2022-02-02 23:27:02,47.3303,123.1836,-4.68,81,20,6.51
158,Tuktoyaktuk,CA,2022-02-02 23:27:02,69.4541,-133.0374,-22.0,76,75,11.5
159,Deputatskiy,RU,2022-02-02 23:27:03,69.3,139.9,-24.95,93,20,5.84
160,Agboville,CI,2022-02-02 23:27:03,5.928,-4.2132,72.18,97,21,2.84
161,Clyde River,CA,2022-02-02 23:27:04,70.4692,-68.5914,-16.37,76,100,11.5
162,Lieksa,FI,2022-02-02 23:27:04,63.3167,30.0167,-0.65,100,82,2.8
163,Sorland,NO,2022-02-02 23:22:13,67.667,12.6934,28.53,59,100,15.55
164,Castro,BR,2022-02-02 23:27:04,-24.7911,-50.0119,65.95,92,40,5.7
165,Kudahuvadhoo,MV,2022-02-02 23:27:05,2.6708,72.8944,81.14,72,1,6.73
166,Sugal,PH,2022-02-02 23:27:05,5.6622,125.4617,75.78,87,100,14.54
167,Goma,CD,2022-02-02 23:27:05,-1.6792,29.2228,63.52,84,100,2.17
168,Nizwa,OM,2022-02-02 23:23:33,22.9333,57.5333,65.39,55,1,5.1
169,Codrington,AU,2022-02-02 23:27:06,-38.2667,141.9667,59.79,63,89,14.38
170,Balabac,PH,2022-02-02 23:27:06,7.9868,117.0645,80.24,81,82,14.81
171,Aktau,KZ,2022-02-02 23:27:07,43.65,51.2,39.78,76,79,18.66
172,Olinda,BR,2022-02-02 23:27:07,-8.0089,-34.8553,82.13,74,40,9.22
173,Galle,LK,2022-02-02 23:27:08,6.0367,80.217,72.79,84,16,3.67
174,Luderitz,NA,2022-02-02 23:27:08,-26.6481,15.1594,68.27,78,69,1.88
175,Baiyin,CN,2022-02-02 23:27:08,36.5583,104.2081,9.48,70,93,0.92
