City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
568,Santo Tomas,PH,76.59,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
570,Kavaratti,IN,78.71,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
576,Kupang,ID,78.84,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
578,Chavantes,BR,76.71,moderate rain,-23.0389,-49.7094,Hotel Pousada Phliladelfia
581,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
583,Klaeng,TH,81.95,broken clouds,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
587,Berbera,SO,75.38,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
591,Toritama,BR,84.38,few clouds,-8.0067,-36.0567,Toritama Golden Hotel
602,Inhambane,MZ,79.75,broken clouds,-23.865,35.3833,Oceano
608,Neiafu,TO,81.28,light intensity shower rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
610,Travesia,HN,89.89,scattered clouds,15.8667,-87.9,Palace Inn Hotel
624,Auki,SB,79.25,overcast clouds,-8.7676,160.7034,Auki Motel
633,Praia,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
636,Moroni,KM,80.4,overcast clouds,-11.7022,43.2551,Hotel les Arcades
643,Mogadishu,SO,77.14,few clouds,2.0371,45.3438,Hotel Juba
645,Sai Buri,TH,77.43,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
648,The Hammocks,US,82.02,overcast clouds,25.6715,-80.4445,Cozy Home Recovery
654,Bentiu,SS,82.42,broken clouds,9.2333,29.8333,Mandela hôtel
656,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
659,Aden,YE,77.47,few clouds,12.7794,45.0367,Sama Emirate Hotel
662,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
670,Labrea,BR,77.9,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
677,Sola,VU,81.0,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
684,Vao,NC,80.28,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
