,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Gisenyi,RW,-1.7028,29.2564,65.32,84,100,3.15,light rain
142,Hakkari,TR,37.5833,44.1667,25.0,97,100,3.24,snow
143,Kudahuvadhoo,MV,2.6708,72.8944,81.77,74,65,9.82,broken clouds
144,Hithadhoo,MV,-0.6,73.0833,81.99,73,20,10.09,few clouds
145,Nanortalik,GL,60.1432,-45.2371,11.64,75,100,45.16,light snow
146,New Norfolk,AU,-42.7826,147.0587,57.7,74,49,1.79,scattered clouds
147,Qinhuangdao,CN,39.9317,119.5883,14.67,56,0,6.44,clear sky
148,Vila,PT,42.0304,-8.1588,42.75,82,100,3.42,overcast clouds
149,Novobirilyussy,RU,56.9514,90.6661,18.55,91,100,11.81,overcast clouds
150,Salalah,OM,17.0151,54.0924,73.49,64,0,3.44,clear sky
151,Kodiak,US,57.79,-152.4072,31.51,86,100,4.61,overcast clouds
152,Jalingo,NG,8.8833,11.3667,77.41,19,0,5.35,clear sky
153,Hilo,US,19.7297,-155.09,78.62,73,100,5.75,overcast clouds
154,Tuatapere,NZ,-46.1333,167.6833,47.7,83,100,3.2,overcast clouds
155,Mungwi,ZM,-10.1732,31.3694,59.83,98,100,2.59,light rain
156,Kisangani,CD,0.5167,25.2,75.02,73,100,3.06,light rain
157,Iquique,CL,-20.2208,-70.1431,73.44,68,3,11.23,clear sky
158,Luanda,AO,-8.8368,13.2343,78.8,73,20,6.91,few clouds
159,Irtyshskiy,RU,58.3333,68.1333,23.29,96,100,6.53,light snow
160,Shenkursk,RU,62.1091,42.896,-10.68,100,97,2.46,overcast clouds
161,Severo-Kurilsk,RU,50.6789,156.125,27.66,90,100,3.06,overcast clouds
162,Ranong,TH,9.9658,98.6348,75.94,89,66,5.99,broken clouds
163,Taltal,CL,-25.4,-70.4833,70.97,63,22,6.96,few clouds
164,Suarez,CO,2.954,-76.6964,84.43,75,85,4.41,overcast clouds
165,Nsukka,NG,6.8561,7.3927,78.93,16,0,4.88,clear sky
166,Soyo,AO,-6.1349,12.3689,78.71,73,72,6.26,broken clouds
167,At-Bashi,KG,41.1702,75.8106,-2.16,79,21,5.06,few clouds
168,Capaci,IT,38.1711,13.2393,62.2,50,0,14.97,clear sky
169,Lavrentiya,RU,65.5833,-171.0,0.84,52,0,17.34,clear sky
170,Wewak,PG,-3.5534,143.6268,78.13,86,81,9.62,broken clouds
171,Hay River,CA,60.8156,-115.7999,-16.62,76,75,6.91,broken clouds
172,Yar-Sale,RU,66.8333,70.8333,5.79,97,100,3.94,overcast clouds
173,Alofi,NU,-19.0595,-169.9187,78.69,78,100,8.05,overcast clouds
174,Suntar,RU,62.1444,117.6319,-17.3,100,100,1.45,overcast clouds
175,Hammerfest,NO,70.6634,23.6821,22.73,79,100,33.38,overcast clouds
176,Chara,RU,56.9064,118.2631,-14.87,86,100,1.74,overcast clouds
177,Bonavista,CA,48.6499,-53.1147,31.12,94,100,20.78,snow
178,Fuzhou,CN,26.0614,119.3061,48.09,88,100,3.04,overcast clouds
